ElapsedSeconds,Throughput_Ethernet_Mbps,Throughput_Ethernet_5_Mbps,Throughput_Ethernet_6_Mbps,Throughput_Ethernet_7_Mbps,Throughput_Tailscale_Mbps
905,954.8822638766476,692.4415295977835,684.6636489155321,1031.6077387297833,0
910,954.9810951286846,692.4415295977835,684.6636489155321,1031.6077387297833,0
915,954.9277892865099,692.4415295977835,684.6636489155321,1031.6077387297833,0
920,955.0714194888315,692.4415295977835,684.6636489155321,1031.6077387297833,0
925,954.3464957267304,692.4415295977835,684.6636489155321,1031.6077387297833,0
930,955.5524688464615,692.4415295977835,684.6636489155321,1031.6077387297833,0
935,955.2425579101798,692.4415295977835,684.6636489155321,1031.6077387297833,0
940,955.1711334347027,692.4415295977835,684.6636489155321,1031.6077387297833,0
945,954.6244621429864,692.4415295977835,684.6636489155321,1031.6077387297833,0
950,955.4562389681029,692.4415295977835,684.6636489155321,1031.6077387297833,0
955,954.9675104738069,692.4415295977835,684.6636489155321,1031.6077387297833,0
960,954.9622640898602,692.4415295977835,684.6636489155321,1031.6077387297833,0
965,955.3539339152719,692.4415295977835,684.6636489155321,1031.6077387297833,0
970,955.1192121091881,692.4415295977835,684.6636489155321,1031.6077387297833,0
975,955.386095287393,692.4415295977835,684.6636489155321,1031.6077387297833,0
980,955.2542755434743,692.4415295977835,684.6636489155321,1031.6077387297833,0
985,955.3093053943624,692.4415295977835,684.6636489155321,1031.6077387297833,0
990,954.6435607287973,692.4415295977835,684.6636489155321,1031.6077387297833,0
995,955.1357063589327,692.4415295977835,684.6636489155321,1031.6077387297833,0
1000,955.3242123566869,692.4415295977835,684.6636489155321,1031.6077387297833,0
1005,954.4852715146982,692.4415295977835,684.6636489155321,1031.6077387297833,0
1010,955.0688894245926,692.4415295977835,684.6636489155321,1031.6077387297833,0
1015,955.4568016595889,692.4415295977835,684.6636489155321,1031.6077387297833,0
1020,954.4753509350013,692.4415295977835,684.6636489155321,1031.6077387297833,0
1025,955.3934092543918,692.4415295977835,684.6636489155321,1031.6077387297833,0
1030,954.8399272677124,692.4415295977835,684.6636489155321,1031.6077387297833,0
1035,955.1151823506734,692.4415295977835,684.6636489155321,1031.6077387297833,0
1040,954.3953387043703,692.4415295977835,684.6636489155321,1031.6077387297833,0
1045,954.6583532958972,692.4415295977835,684.6636489155321,1031.6077387297833,0
1050,954.341536853389,692.4415295977835,684.6636489155321,1031.6077387297833,0
1055,955.4588648673744,692.4415295977835,684.6636489155321,1031.6077387297833,0
1060,954.9114895668315,692.4415295977835,684.6636489155321,1031.6077387297833,0
1065,955.414882958375,692.4415295977835,684.6636489155321,1031.6077387297833,0
1070,954.5351583100131,692.4415295977835,684.6636489155321,1031.6077387297833,0
1075,955.4198529924887,692.4415295977835,684.6636489155321,1031.6077387297833,0
1080,955.5005998469904,692.4415295977835,684.6636489155321,1031.6077387297833,0
1085,955.4018485862358,692.4415295977835,684.6636489155321,1031.6077387297833,0
1090,954.5683878681804,692.4415295977835,684.6636489155321,1031.6077387297833,0
1095,954.4776906757807,692.4415295977835,684.6636489155321,1031.6077387297833,0
1100,954.9404360040943,692.4415295977835,684.6636489155321,1031.6077387297833,0
1105,955.5846435872963,692.4415295977835,684.6636489155321,1031.6077387297833,0
1110,955.2735868304073,692.4415295977835,684.6636489155321,1031.6077387297833,0
1115,955.2210919516939,692.4415295977835,684.6636489155321,1031.6077387297833,0
1120,954.9862480299143,692.4415295977835,684.6636489155321,1031.6077387297833,0
1125,955.3854389112151,692.4415295977835,684.6636489155321,1031.6077387297833,0
1130,955.1987833752681,692.4415295977835,684.6636489155321,1031.6077387297833,0
1135,954.5771870681825,692.4415295977835,684.6636489155321,1031.6077387297833,0
1140,954.8680263679469,692.4415295977835,684.6636489155321,1031.6077387297833,0
1145,955.5404625012258,692.4415295977835,684.6636489155321,1031.6077387297833,0
1150,954.5268278820799,692.4415295977835,684.6636489155321,1031.6077387297833,0
1155,954.2868055427566,692.4415295977835,684.6636489155321,1031.6077387297833,0
1160,955.1642914930894,692.4415295977835,684.6636489155321,1031.6077387297833,0
1165,955.087912087912,692.4415295977835,684.6636489155321,1031.6077387297833,0
1170,955.5043514844283,692.4415295977835,684.6636489155321,1031.6077387297833,0
1175,954.3997366890769,692.4415295977835,684.6636489155321,1031.6077387297833,0
1180,955.3337755586039,692.4415295977835,684.6636489155321,1031.6077387297833,0
1185,955.1027184291123,692.4415295977835,684.6636489155321,1031.6077387297833,0
1190,955.3679046243242,692.4415295977835,684.6636489155321,1031.6077387297833,0
1195,955.0001142948299,692.4415295977835,684.6636489155321,1031.6077387297833,0
1200,954.5807442376326,692.4415295977835,684.6636489155321,1031.6077387297833,0
1205,955.0012386042281,692.4415295977835,684.6636489155321,1031.6077387297833,0
1210,954.7856070296424,692.4415295977835,684.6636489155321,1031.6077387297833,0
1215,955.1435788153273,692.4415295977835,684.6636489155321,1031.6077387297833,0
1220,954.0820632094598,692.4415295977835,684.6636489155321,1031.6077387297833,0
1225,954.4437187655624,692.4415295977835,684.6636489155321,1031.6077387297833,0
1230,954.7816737351412,692.4415295977835,684.6636489155321,1031.6077387297833,0
1235,955.10974691631,692.4415295977835,684.6636489155321,1031.6077387297833,0
1240,954.8198842534489,692.4415295977835,684.6636489155321,1031.6077387297833,0
1245,955.1655099138745,692.4415295977835,684.6636489155321,1031.6077387297833,0
1250,955.1225858866541,692.4415295977835,684.6636489155321,1031.6077387297833,0
1255,955.3051802794239,692.4415295977835,684.6636489155321,1031.6077387297833,0
1260,954.7061045837634,692.4415295977835,684.6636489155321,1031.6077387297833,0
1265,954.9225433389921,692.4415295977835,684.6636489155321,1031.6077387297833,0
1270,954.6447778214412,692.4415295977835,684.6636489155321,1031.6077387297833,0
1275,955.3959410382898,692.4415295977835,684.6636489155321,1031.6077387297833,0
1280,955.0204459653556,692.4415295977835,684.6636489155321,1031.6077387297833,0
1285,954.2819408411733,692.4415295977835,684.6636489155321,1031.6077387297833,0
1290,954.1388285475064,692.4415295977835,684.6636489155321,1031.6077387297833,0
1295,955.7112060819101,692.4415295977835,684.6636489155321,1031.6077387297833,0
1300,955.217904948407,692.4415295977835,684.6636489155321,1031.6077387297833,0
1305,955.0484619895508,692.4415295977835,684.6636489155321,1031.6077387297833,0
1310,955.3543089625266,692.4415295977835,684.6636489155321,1031.6077387297833,0
1315,954.8977195476175,692.4415295977835,684.6636489155321,1031.6077387297833,0
1320,955.3048990228845,692.4415295977835,684.6636489155321,1031.6077387297833,0
1325,955.241245553152,692.4415295977835,684.6636489155321,1031.6077387297833,0
1330,955.1547316840356,692.4415295977835,684.6636489155321,1031.6077387297833,0
1335,954.9516778120548,692.4415295977835,684.6636489155321,1031.6077387297833,0
1340,954.8560372162372,692.4415295977835,684.6636489155321,1031.6077387297833,0
1345,955.1372995836814,692.4415295977835,684.6636489155321,1031.6077387297833,0
1350,955.0754488780709,692.4415295977835,684.6636489155321,1031.6077387297833,0
1355,955.4553011504325,692.4415295977835,684.6636489155321,1031.6077387297833,0
1360,955.1788190202559,692.4415295977835,684.6636489155321,1031.6077387297833,0
1365,955.4799663676756,692.4415295977835,684.6636489155321,1031.6077387297833,0
1370,955.4105693857756,692.4415295977835,684.6636489155321,1031.6077387297833,0
1375,954.597126281229,692.4415295977835,684.6636489155321,1031.6077387297833,0
1380,954.9985215277142,692.4415295977835,684.6636489155321,1031.6077387297833,0
1385,954.7503958323996,692.4415295977835,684.6636489155321,1031.6077387297833,0
1390,955.1268968592125,692.4415295977835,684.6636489155321,1031.6077387297833,0
1395,955.0935346950631,692.4415295977835,684.6636489155321,1031.6077387297833,0
1400,954.7087263614295,692.4415295977835,684.6636489155321,1031.6077387297833,0
1405,954.4327696569349,692.4415295977835,684.6636489155321,1031.6077387297833,0
1410,954.8604394479024,692.4415295977835,684.6636489155321,1031.6077387297833,0
1415,954.7240827769324,692.4415295977835,684.6636489155321,1031.6077387297833,0
1420,955.524798426282,692.4415295977835,684.6636489155321,1031.6077387297833,0
1425,954.8947220450494,692.4415295977835,684.6636489155321,1031.6077387297833,0
1430,955.377468701022,692.4415295977835,684.6636489155321,1031.6077387297833,0
1435,954.5469521982047,692.4415295977835,684.6636489155321,1031.6077387297833,0
1440,954.6061132411193,692.4415295977835,684.6636489155321,1031.6077387297833,0
1445,954.5589335893925,692.4415295977835,684.6636489155321,1031.6077387297833,0
1450,954.5804634075017,692.4415295977835,684.6636489155321,1031.6077387297833,0
1455,954.9057754290195,692.4415295977835,684.6636489155321,1031.6077387297833,0
1460,955.3309628322826,692.4415295977835,684.6636489155321,1031.6077387297833,0
1465,955.3195245825397,692.4415295977835,684.6636489155321,1031.6077387297833,0
1470,955.5803284816704,692.4415295977835,684.6636489155321,1031.6077387297833,0
1475,954.9707894930468,692.4415295977835,684.6636489155321,1031.6077387297833,0
1480,954.3858878530971,692.4415295977835,684.6636489155321,1031.6077387297833,0
1485,955.2009392006157,692.4415295977835,684.6636489155321,1031.6077387297833,0
1490,955.2204358022199,692.4415295977835,684.6636489155321,1031.6077387297833,0
1495,954.468144605475,692.4415295977835,684.6636489155321,1031.6077387297833,0
1500,954.4866753869718,692.4415295977835,684.6636489155321,1031.6077387297833,0
1505,954.8000293867441,692.4415295977835,684.6636489155321,1031.6077387297833,0
1510,954.9826878376725,692.4415295977835,684.6636489155321,1031.6077387297833,0
1515,954.8980942367617,692.4415295977835,684.6636489155321,1031.6077387297833,0
1520,955.0222261989242,692.4415295977835,684.6636489155321,1031.6077387297833,0
1525,954.9276956083703,692.4415295977835,684.6636489155321,1031.6077387297833,0
1530,954.8507920570353,692.4415295977835,684.6636489155321,1031.6077387297833,0
1535,954.711629060642,692.4415295977835,684.6636489155321,1031.6077387297833,0
1540,955.0003953719312,692.4415295977835,684.6636489155321,1031.6077387297833,0
1545,954.9779097266464,692.4415295977835,684.6636489155321,1031.6077387297833,0
1550,955.2027201071556,692.4415295977835,684.6636489155321,1031.6077387297833,0
1555,954.8164189577961,692.4415295977835,684.6636489155321,1031.6077387297833,0
1560,954.9948675526414,692.4415295977835,684.6636489155321,1031.6077387297833,0
1565,955.4351385158029,692.4415295977835,684.6636489155321,1031.6077387297833,0
1570,954.743185349089,692.4415295977835,684.6636489155321,1031.6077387297833,0
1575,955.0381548998968,692.4415295977835,684.6636489155321,1031.6077387297833,0
1580,955.2834302625125,692.4415295977835,684.6636489155321,1031.6077387297833,0
1585,954.5233647132563,692.4415295977835,684.6636489155321,1031.6077387297833,0
1590,954.6378497970688,692.4415295977835,684.6636489155321,1031.6077387297833,0
1595,954.5374983440181,692.4415295977835,684.6636489155321,1031.6077387297833,0
1600,955.0369368040011,692.4415295977835,684.6636489155321,1031.6077387297833,0
1605,954.8047120639159,692.4415295977835,684.6636489155321,1031.6077387297833,0
1610,954.2506956710469,692.4415295977835,684.6636489155321,1031.6077387297833,0
1615,954.9160796614896,692.4415295977835,684.6636489155321,1031.6077387297833,0
1620,954.9451200585784,692.4415295977835,684.6636489155321,1031.6077387297833,0
1625,955.2015015914374,692.4415295977835,684.6636489155321,1031.6077387297833,0
1630,955.1457343914952,692.4415295977835,684.6636489155321,1031.6077387297833,0
1635,954.3457472142446,692.4415295977835,684.6636489155321,1031.6077387297833,0
1640,955.1824744031271,692.4415295977835,684.6636489155321,1031.6077387297833,0
1645,955.3251499170369,692.4415295977835,684.6636489155321,1031.6077387297833,0
1650,954.7231463959903,692.4415295977835,684.6636489155321,1031.6077387297833,0
1655,954.9803456204108,692.4415295977835,684.6636489155321,1031.6077387297833,0
1660,954.9837184169074,692.4415295977835,684.6636489155321,1031.6077387297833,0
1665,954.846389914325,692.4415295977835,684.6636489155321,1031.6077387297833,0
1670,954.8920992457395,692.4415295977835,684.6636489155321,1031.6077387297833,0
1675,954.4047897428205,692.4415295977835,684.6636489155321,1031.6077387297833,0
1680,955.5521874442919,692.4415295977835,684.6636489155321,1031.6077387297833,0
1685,955.0043304687227,692.4415295977835,684.6636489155321,1031.6077387297833,0
1690,954.6530166840204,692.4415295977835,684.6636489155321,1031.6077387297833,0
1695,955.3814069059088,692.4415295977835,684.6636489155321,1031.6077387297833,0
1700,954.2001838556398,692.4415295977835,684.6636489155321,1031.6077387297833,0
1705,954.6973030069133,692.4415295977835,684.6636489155321,1031.6077387297833,0
1710,955.2572753038141,692.4415295977835,684.6636489155321,1031.6077387297833,0
1715,955.3529962984235,692.4415295977835,684.6636489155321,1031.6077387297833,0
1720,954.9425906634498,692.4415295977835,684.6636489155321,1031.6077387297833,0
1725,954.6500207175378,692.4415295977835,684.6636489155321,1031.6077387297833,0
1730,955.2508070940668,692.4415295977835,684.6636489155321,1031.6077387297833,0
1735,954.3544487444059,692.4415295977835,684.6636489155321,1031.6077387297833,0
1740,954.7412188725425,692.4415295977835,684.6636489155321,1031.6077387297833,0
1745,954.8482631615809,692.4415295977835,684.6636489155321,1031.6077387297833,0
1750,954.5082019456394,692.4415295977835,684.6636489155321,1031.6077387297833,0
1755,955.7505232729047,692.4415295977835,684.6636489155321,1031.6077387297833,0
1760,954.2576180772068,692.4415295977835,684.6636489155321,1031.6077387297833,0
1765,954.8458279415815,692.4415295977835,684.6636489155321,1031.6077387297833,0
1770,955.0334699326892,692.4415295977835,684.6636489155321,1031.6077387297833,0
1775,955.2808053274493,692.4415295977835,684.6636489155321,1031.6077387297833,0
1780,954.8878840627478,692.4415295977835,684.6636489155321,1031.6077387297833,0
1785,955.0367494049083,692.4415295977835,684.6636489155321,1031.6077387297833,0
1790,954.7538606488349,692.4415295977835,684.6636489155321,1031.6077387297833,0
1795,955.4103818400245,692.4415295977835,684.6636489155321,1031.6077387297833,0
1800,954.9813761945904,955.0403100002472,684.6636489155321,1031.6077387297833,0
1805,954.9191709745953,954.7700613404506,684.6636489155321,1031.6077387297833,0
1810,954.9272272179475,955.3162431680099,684.6636489155321,1031.6077387297833,0
1815,954.9328479333469,954.6339177198599,684.6636489155321,1031.6077387297833,0
1820,955.4219160407039,954.8940663438713,684.6636489155321,1031.6077387297833,0
1825,955.0346880197415,954.6556381701182,684.6636489155321,1031.6077387297833,0
1830,955.4228537928377,954.6724909245243,684.6636489155321,1031.6077387297833,0
1835,954.8034009096779,955.4857811671188,684.6636489155321,1031.6077387297833,0
1840,954.7770849325152,954.8747703980912,684.6636489155321,1031.6077387297833,0
1845,955.6087526119269,954.9644188477196,684.6636489155321,1031.6077387297833,0
1850,954.6263345195729,955.5461842374954,684.6636489155321,1031.6077387297833,0
1855,955.4461106346876,954.7207118141374,684.6636489155321,1031.6077387297833,0
1860,955.0255992912549,955.8025132605028,684.6636489155321,1031.6077387297833,0
1865,954.7237082243352,954.9769728477384,684.6636489155321,1031.6077387297833,0
1870,955.0443391269923,954.778208716835,684.6636489155321,1031.6077387297833,0
1875,954.2144014554965,955.7717315017769,684.6636489155321,1031.6077387297833,0
1880,954.2021481040803,954.1796065009545,684.6636489155321,1031.6077387297833,0
1885,954.7288583483075,955.0248497131223,684.6636489155321,1031.6077387297833,0
1890,954.4221015363105,954.7564826887998,684.6636489155321,1031.6077387297833,0
1895,954.9916820587252,955.0022692235018,684.6636489155321,1031.6077387297833,0
1900,954.9810014400862,954.8826385536627,684.6636489155321,1031.6077387297833,0
1905,955.4770589944943,954.983905795189,684.6636489155321,1031.6077387297833,0
1910,954.93500255846,954.3799928624371,684.6636489155321,1031.6077387297833,0
1915,954.8616570936144,955.4730262158256,684.6636489155321,1031.6077387297833,0
1920,954.9576735511935,954.5929137020295,684.6636489155321,1031.6077387297833,0
1925,954.6564807937074,955.6302359973519,684.6636489155321,1031.6077387297833,0
1930,954.0814086238694,955.1555751889018,684.6636489155321,1031.6077387297833,0
1935,954.8586598174477,954.5603376783613,684.6636489155321,1031.6077387297833,0
1940,954.6136025036226,955.4210720653572,684.6636489155321,1031.6077387297833,0
1945,954.9587977606639,954.9527083243611,684.6636489155321,1031.6077387297833,0
1950,954.3971166082006,954.4412856086021,684.6636489155321,1031.6077387297833,0
1955,955.3547777720091,955.4212596153052,684.6636489155321,1031.6077387297833,0
1960,954.5604312844393,955.2217481020693,684.6636489155321,1031.6077387297833,0
1965,955.4277301336081,955.5281750696751,684.6636489155321,1031.6077387297833,0
1970,955.1375807415417,955.0143557428122,684.6636489155321,1031.6077387297833,0
1975,954.3478991908061,955.0355313125976,684.6636489155321,1031.6077387297833,0
1980,955.2625249297433,955.3651854610081,684.6636489155321,1031.6077387297833,0
1985,955.2141555600018,954.4687997218444,684.6636489155321,1031.6077387297833,0
1990,954.7359749746879,955.4821234624371,684.6636489155321,1031.6077387297833,0
1995,954.5112906184911,954.921981276605,684.6636489155321,1031.6077387297833,0
2000,954.4590666569269,954.9676041597585,684.6636489155321,1031.6077387297833,0
2005,954.9309743541951,955.0111701188848,684.6636489155321,1031.6077387297833,0
2010,954.5980624149893,954.5081083498043,684.6636489155321,1031.6077387297833,0
2015,955.9302599749642,955.0422777090616,684.6636489155321,1031.6077387297833,0
2020,955.4300745459276,955.3677170953229,684.6636489155321,1031.6077387297833,0
2025,954.9634819952817,954.4827445550123,684.6636489155321,1031.6077387297833,0
2030,954.7929118054087,954.8329027510509,684.6636489155321,1031.6077387297833,0
2035,955.3313378615019,955.378500132497,684.6636489155321,1031.6077387297833,0
2040,954.0885156012012,955.2367460707183,684.6636489155321,1031.6077387297833,0
2045,954.801902452101,955.265149764345,684.6636489155321,1031.6077387297833,0
2050,955.2478073743505,954.6332623768077,684.6636489155321,1031.6077387297833,0
2055,954.9752864703358,955.0483682877338,684.6636489155321,1031.6077387297833,0
2060,954.9287260689176,954.818385744134,684.6636489155321,1031.6077387297833,0
2065,954.7514259103347,955.5213280121076,684.6636489155321,1031.6077387297833,0
2070,955.549654832226,954.9409980882062,684.6636489155321,1031.6077387297833,0
2075,954.2323611346106,954.9416538538397,684.6636489155321,1031.6077387297833,0
2080,954.4877984877639,955.0665467844714,684.6636489155321,1031.6077387297833,0
2085,954.3941222476715,954.9294754961672,684.6636489155321,1031.6077387297833,0
2090,954.8782361173047,955.4204156411186,684.6636489155321,1031.6077387297833,0
2095,954.5571550826282,954.8340266667713,684.6636489155321,1031.6077387297833,0
2100,955.4739640682922,954.8490124625413,684.6636489155321,1031.6077387297833,0
2105,954.3966487381294,955.2741493067771,684.6636489155321,1031.6077387297833,0
2110,955.4268861479898,954.6957112497054,684.6636489155321,1031.6077387297833,0
2115,954.5272958797942,954.892380259262,684.6636489155321,1031.6077387297833,0
2120,955.4447977182999,954.9512093981052,684.6636489155321,1031.6077387297833,0
2125,955.1709459829417,955.1002819110295,684.6636489155321,1031.6077387297833,0
2130,954.5126009705886,954.6829773831213,684.6636489155321,1031.6077387297833,0
2135,955.0794783013101,954.9826878376725,684.6636489155321,1031.6077387297833,0
2140,954.9490546998562,954.5342222996237,684.6636489155321,1031.6077387297833,0
2145,954.4145217007897,955.4047555017265,684.6636489155321,1031.6077387297833,0
2150,955.3935967934796,955.6436518764394,684.6636489155321,1031.6077387297833,0
2155,954.7114417891925,954.9557061909894,684.6636489155321,1031.6077387297833,0
2160,954.8533209658851,954.9415601729797,684.6636489155321,1031.6077387297833,0
2165,954.6286750006351,955.3655605170969,684.6636489155321,1031.6077387297833,0
2170,954.8961271220351,954.5122265839079,684.6636489155321,1031.6077387297833,0
2175,954.3338647358008,955.0847259732452,684.6636489155321,1031.6077387297833,0
2180,955.4573643517376,954.902309509896,684.6636489155321,1031.6077387297833,0
2185,955.0866938650884,954.3933736604749,684.6636489155321,1031.6077387297833,0
2190,955.2342151304767,954.7372859437513,684.6636489155321,1031.6077387297833,0
2195,954.9262904384806,954.9248852727262,684.6636489155321,1031.6077387297833,0
2200,954.9793150484555,954.5380599538863,684.6636489155321,1031.6077387297833,0
2205,955.2748992763006,955.0269110558186,684.6636489155321,1031.6077387297833,0
2210,955.4883134406107,955.2721806423807,684.6636489155321,1031.6077387297833,0
2215,954.8792664711115,954.223755370676,684.6636489155321,1031.6077387297833,0
2220,954.6237131944082,955.0037683100528,684.6636489155321,1031.6077387297833,0
2225,955.4235102204267,954.4895767360903,684.6636489155321,1031.6077387297833,0
2230,955.2835240104603,954.3881335829801,684.6636489155321,1031.6077387297833,0
2235,955.0273795440359,955.5755443883795,684.6636489155321,1031.6077387297833,0
